die,module,subflow,instance,ratio,power_plane,plist,status,group,recipe,phase,chunks
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARFMAV1DUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parfmav1dualcoreall_x_atpg_stack_x_normal_main_list,kill,parfmav1dualcorec0,atpg,ph3,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARFMAV1DUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parfmav1dualcoreall_x_atpg_stack_x_normal_main_list,kill,parfmav1dualcorec0,atpg,ph4,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARFMAV1DUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parfmav1dualcoreall_x_atpg_stack_x_normal_main_list,kill,parfmav1dualcorec0,atpg,ph5,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PAREXEDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parexedualcoreall_x_atpg_stack_x_normal_main_list,kill,parexedualcorec0,atpg,ph1,3
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PAREXEDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parexedualcoreall_x_atpg_stack_x_normal_main_list,kill,parexedualcorec0,atpg,ph2,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PAREXEDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parexedualcoreall_x_atpg_stack_x_normal_main_list,kill,parexedualcorec0,atpg,ph3,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PAREXEDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parexedualcoreall_x_atpg_stack_x_normal_main_list,kill,parexedualcorec0,atpg,ph4,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PAREXEDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parexedualcoreall_x_atpg_stack_x_normal_main_list,kill,parexedualcorec0,atpg,ph5,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PAROOOVECDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parooovecdualcoreall_x_atpg_stack_x_normal_main_list,kill,parooovecdualcorec0,atpg,ph1,8
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PAROOOVECDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parooovecdualcoreall_x_atpg_stack_x_normal_main_list,kill,parooovecdualcorec0,atpg,ph2,52
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PAROOOVECDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parooovecdualcoreall_x_atpg_stack_x_normal_main_list,kill,parooovecdualcorec0,atpg,ph3,16
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PAROOOVECDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parooovecdualcoreall_x_atpg_stack_x_normal_main_list,kill,parooovecdualcorec0,atpg,ph4,3
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PAROOOVECDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parooovecdualcoreall_x_atpg_stack_x_normal_main_list,kill,parooovecdualcorec0,atpg,ph5,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARCCFLLCTAGH0_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn600_cbb_bgncbb_sno_edt_parccfllctagh0_x_atpg_ph1_x_normal_main_list,kill,parccfllctagh0,atpg,ph1,55
